drug_id,drug_name,drug_slug,drug_class,class_id,class_slug,system,system_slug,problem_area,problem_slug,mechanism,mechanism_short,exam_use,side_effects,exam_hint,related_drugs,related_classes,is_key_example,revision_priority,tags,flashcard_front,flashcard_back,mcq_question,mcq_correct_answer,disclaimer
D0001,cetirizine,cetirizine,Antihistamine,Cantihistamine,antihistamine,Allergy,allergy,"Allergic rhinitis, urticaria and sedation concepts",allergic-rhinitis,Blocks H1 histamine receptors.,Blocks H1 histamine receptors.,"Allergy symptoms, itching, motion sickness/sedation concepts depending on drug.","Drowsiness more with first-generation drugs, dry mouth, dizziness.",High-yield: first-generation H1 blockers are sedating and anticholinergic.,"cetirizine, levocetirizine, loratadine, desloratadine, fexofenadine, diphenhydramine, chlorpheniramine, promethazine",,Yes,High,"cetirizine | Antihistamine | Allergy | Allergic rhinitis, urticaria and sedation concepts | Blocks H1 histamine receptors. | High-yield: first-generation H1 blockers are sedating and anticholinergic.",What is the drug class of cetirizine?,cetirizine belongs to Antihistamine. Mechanism theme: Blocks H1 histamine receptors.,cetirizine belongs to which drug class?,Antihistamine,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0012,etomidate,etomidate,General anesthetic,Cgeneral-anesthetic,general-anesthetic,Anesthesia,anesthesia,General anesthesia,general-anesthesia,Produces reversible unconsciousness through CNS receptor/channel effects.,Produces reversible unconsciousness through CNS receptor/channel effects.,General anesthesia concepts.,"Respiratory/cardiovascular depression, emergence effects depending on agent.",High-yield: ketamine is dissociative and can increase sympathetic tone.,"propofol, ketamine, etomidate, thiopental, sevoflurane, isoflurane, desflurane, halothane",,Yes,High,etomidate | General anesthetic | Anesthesia | General anesthesia | Produces reversible unconsciousness through CNS receptor/channel effects. | High-yield: ketamine is dissociative and can increase sympathetic tone.,What is the drug class of etomidate?,etomidate belongs to General anesthetic. Mechanism theme: Produces reversible unconsciousness through CNS receptor/channel effects.,etomidate belongs to which drug class?,General anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0013,halothane,halothane,General anesthetic,Cgeneral-anesthetic,general-anesthetic,Anesthesia,anesthesia,General anesthesia,general-anesthesia,Produces reversible unconsciousness through CNS receptor/channel effects.,Produces reversible unconsciousness through CNS receptor/channel effects.,General anesthesia concepts.,"Respiratory/cardiovascular depression, emergence effects depending on agent.",High-yield: ketamine is dissociative and can increase sympathetic tone.,"propofol, ketamine, etomidate, thiopental, sevoflurane, isoflurane, desflurane, halothane",,No,Core,halothane | General anesthetic | Anesthesia | General anesthesia | Produces reversible unconsciousness through CNS receptor/channel effects. | High-yield: ketamine is dissociative and can increase sympathetic tone.,What is the drug class of halothane?,halothane belongs to General anesthetic. Mechanism theme: Produces reversible unconsciousness through CNS receptor/channel effects.,halothane belongs to which drug class?,General anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0014,isoflurane,isoflurane,General anesthetic,Cgeneral-anesthetic,general-anesthetic,Anesthesia,anesthesia,General anesthesia,general-anesthesia,Produces reversible unconsciousness through CNS receptor/channel effects.,Produces reversible unconsciousness through CNS receptor/channel effects.,General anesthesia concepts.,"Respiratory/cardiovascular depression, emergence effects depending on agent.",High-yield: ketamine is dissociative and can increase sympathetic tone.,"propofol, ketamine, etomidate, thiopental, sevoflurane, isoflurane, desflurane, halothane",,No,Core,isoflurane | General anesthetic | Anesthesia | General anesthesia | Produces reversible unconsciousness through CNS receptor/channel effects. | High-yield: ketamine is dissociative and can increase sympathetic tone.,What is the drug class of isoflurane?,isoflurane belongs to General anesthetic. Mechanism theme: Produces reversible unconsciousness through CNS receptor/channel effects.,isoflurane belongs to which drug class?,General anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0015,ketamine,ketamine,General anesthetic,Cgeneral-anesthetic,general-anesthetic,Anesthesia,anesthesia,General anesthesia,general-anesthesia,Produces reversible unconsciousness through CNS receptor/channel effects.,Produces reversible unconsciousness through CNS receptor/channel effects.,General anesthesia concepts.,"Respiratory/cardiovascular depression, emergence effects depending on agent.",High-yield: ketamine is dissociative and can increase sympathetic tone.,"propofol, ketamine, etomidate, thiopental, sevoflurane, isoflurane, desflurane, halothane",,Yes,High,ketamine | General anesthetic | Anesthesia | General anesthesia | Produces reversible unconsciousness through CNS receptor/channel effects. | High-yield: ketamine is dissociative and can increase sympathetic tone.,What is the drug class of ketamine?,ketamine belongs to General anesthetic. Mechanism theme: Produces reversible unconsciousness through CNS receptor/channel effects.,ketamine belongs to which drug class?,General anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0016,nitrous oxide,nitrous-oxide,General anesthetic,Cgeneral-anesthetic,general-anesthetic,Anesthesia,anesthesia,General anesthesia,general-anesthesia,Produces reversible unconsciousness through CNS receptor/channel effects.,Produces reversible unconsciousness through CNS receptor/channel effects.,General anesthesia concepts.,"Respiratory/cardiovascular depression, emergence effects depending on agent.",High-yield: ketamine is dissociative and can increase sympathetic tone.,"propofol, ketamine, etomidate, thiopental, sevoflurane, isoflurane, desflurane, halothane",,No,Core,nitrous oxide | General anesthetic | Anesthesia | General anesthesia | Produces reversible unconsciousness through CNS receptor/channel effects. | High-yield: ketamine is dissociative and can increase sympathetic tone.,What is the drug class of nitrous oxide?,nitrous oxide belongs to General anesthetic. Mechanism theme: Produces reversible unconsciousness through CNS receptor/channel effects.,nitrous oxide belongs to which drug class?,General anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0017,propofol,propofol,General anesthetic,Cgeneral-anesthetic,general-anesthetic,Anesthesia,anesthesia,General anesthesia,general-anesthesia,Produces reversible unconsciousness through CNS receptor/channel effects.,Produces reversible unconsciousness through CNS receptor/channel effects.,General anesthesia concepts.,"Respiratory/cardiovascular depression, emergence effects depending on agent.",High-yield: ketamine is dissociative and can increase sympathetic tone.,"propofol, ketamine, etomidate, thiopental, sevoflurane, isoflurane, desflurane, halothane",,Yes,High,propofol | General anesthetic | Anesthesia | General anesthesia | Produces reversible unconsciousness through CNS receptor/channel effects. | High-yield: ketamine is dissociative and can increase sympathetic tone.,What is the drug class of propofol?,propofol belongs to General anesthetic. Mechanism theme: Produces reversible unconsciousness through CNS receptor/channel effects.,propofol belongs to which drug class?,General anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0018,sevoflurane,sevoflurane,General anesthetic,Cgeneral-anesthetic,general-anesthetic,Anesthesia,anesthesia,General anesthesia,general-anesthesia,Produces reversible unconsciousness through CNS receptor/channel effects.,Produces reversible unconsciousness through CNS receptor/channel effects.,General anesthesia concepts.,"Respiratory/cardiovascular depression, emergence effects depending on agent.",High-yield: ketamine is dissociative and can increase sympathetic tone.,"propofol, ketamine, etomidate, thiopental, sevoflurane, isoflurane, desflurane, halothane",,No,Core,sevoflurane | General anesthetic | Anesthesia | General anesthesia | Produces reversible unconsciousness through CNS receptor/channel effects. | High-yield: ketamine is dissociative and can increase sympathetic tone.,What is the drug class of sevoflurane?,sevoflurane belongs to General anesthetic. Mechanism theme: Produces reversible unconsciousness through CNS receptor/channel effects.,sevoflurane belongs to which drug class?,General anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0019,thiopental,thiopental,General anesthetic,Cgeneral-anesthetic,general-anesthetic,Anesthesia,anesthesia,General anesthesia,general-anesthesia,Produces reversible unconsciousness through CNS receptor/channel effects.,Produces reversible unconsciousness through CNS receptor/channel effects.,General anesthesia concepts.,"Respiratory/cardiovascular depression, emergence effects depending on agent.",High-yield: ketamine is dissociative and can increase sympathetic tone.,"propofol, ketamine, etomidate, thiopental, sevoflurane, isoflurane, desflurane, halothane",,No,Core,thiopental | General anesthetic | Anesthesia | General anesthesia | Produces reversible unconsciousness through CNS receptor/channel effects. | High-yield: ketamine is dissociative and can increase sympathetic tone.,What is the drug class of thiopental?,thiopental belongs to General anesthetic. Mechanism theme: Produces reversible unconsciousness through CNS receptor/channel effects.,thiopental belongs to which drug class?,General anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0020,bupivacaine,bupivacaine,Local anesthetic,Clocal-anesthetic,local-anesthetic,Anesthesia,anesthesia,Local anesthesia and arrhythmia concepts,local-anesthesia-and-arrhythmia-concepts,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Local anesthesia and selected antiarrhythmic concept for lidocaine.,"CNS toxicity, cardiovascular toxicity, numbness/tingling if systemic exposure occurs.",High-yield: local anesthetics block sodium channels.,"lidocaine, lignocaine, bupivacaine, ropivacaine, procaine, tetracaine, prilocaine, mepivacaine",,Yes,High,bupivacaine | Local anesthetic | Anesthesia | Local anesthesia and arrhythmia concepts | Blocks voltage-gated sodium channels and prevents nerve impulse conduction. | High-yield: local anesthetics block sodium channels.,What is the drug class of bupivacaine?,bupivacaine belongs to Local anesthetic. Mechanism theme: Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,bupivacaine belongs to which drug class?,Local anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0021,lidocaine,lidocaine,Local anesthetic,Clocal-anesthetic,local-anesthetic,Anesthesia,anesthesia,Local anesthesia and arrhythmia concepts,local-anesthesia-and-arrhythmia-concepts,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Local anesthesia and selected antiarrhythmic concept for lidocaine.,"CNS toxicity, cardiovascular toxicity, numbness/tingling if systemic exposure occurs.",High-yield: local anesthetics block sodium channels.,"lidocaine, lignocaine, bupivacaine, ropivacaine, procaine, tetracaine, prilocaine, mepivacaine",,Yes,High,lidocaine | Local anesthetic | Anesthesia | Local anesthesia and arrhythmia concepts | Blocks voltage-gated sodium channels and prevents nerve impulse conduction. | High-yield: local anesthetics block sodium channels.,What is the drug class of lidocaine?,lidocaine belongs to Local anesthetic. Mechanism theme: Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,lidocaine belongs to which drug class?,Local anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0022,lignocaine,lignocaine,Local anesthetic,Clocal-anesthetic,local-anesthetic,Anesthesia,anesthesia,Local anesthesia and arrhythmia concepts,local-anesthesia-and-arrhythmia-concepts,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Local anesthesia and selected antiarrhythmic concept for lidocaine.,"CNS toxicity, cardiovascular toxicity, numbness/tingling if systemic exposure occurs.",High-yield: local anesthetics block sodium channels.,"lidocaine, lignocaine, bupivacaine, ropivacaine, procaine, tetracaine, prilocaine, mepivacaine",,Yes,High,lignocaine | Local anesthetic | Anesthesia | Local anesthesia and arrhythmia concepts | Blocks voltage-gated sodium channels and prevents nerve impulse conduction. | High-yield: local anesthetics block sodium channels.,What is the drug class of lignocaine?,lignocaine belongs to Local anesthetic. Mechanism theme: Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,lignocaine belongs to which drug class?,Local anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0023,mepivacaine,mepivacaine,Local anesthetic,Clocal-anesthetic,local-anesthetic,Anesthesia,anesthesia,Local anesthesia and arrhythmia concepts,local-anesthesia-and-arrhythmia-concepts,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Local anesthesia and selected antiarrhythmic concept for lidocaine.,"CNS toxicity, cardiovascular toxicity, numbness/tingling if systemic exposure occurs.",High-yield: local anesthetics block sodium channels.,"lidocaine, lignocaine, bupivacaine, ropivacaine, procaine, tetracaine, prilocaine, mepivacaine",,No,Core,mepivacaine | Local anesthetic | Anesthesia | Local anesthesia and arrhythmia concepts | Blocks voltage-gated sodium channels and prevents nerve impulse conduction. | High-yield: local anesthetics block sodium channels.,What is the drug class of mepivacaine?,mepivacaine belongs to Local anesthetic. Mechanism theme: Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,mepivacaine belongs to which drug class?,Local anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0024,prilocaine,prilocaine,Local anesthetic,Clocal-anesthetic,local-anesthetic,Anesthesia,anesthesia,Local anesthesia and arrhythmia concepts,local-anesthesia-and-arrhythmia-concepts,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Local anesthesia and selected antiarrhythmic concept for lidocaine.,"CNS toxicity, cardiovascular toxicity, numbness/tingling if systemic exposure occurs.",High-yield: local anesthetics block sodium channels.,"lidocaine, lignocaine, bupivacaine, ropivacaine, procaine, tetracaine, prilocaine, mepivacaine",,No,Core,prilocaine | Local anesthetic | Anesthesia | Local anesthesia and arrhythmia concepts | Blocks voltage-gated sodium channels and prevents nerve impulse conduction. | High-yield: local anesthetics block sodium channels.,What is the drug class of prilocaine?,prilocaine belongs to Local anesthetic. Mechanism theme: Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,prilocaine belongs to which drug class?,Local anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0025,procaine,procaine,Local anesthetic,Clocal-anesthetic,local-anesthetic,Anesthesia,anesthesia,Local anesthesia and arrhythmia concepts,local-anesthesia-and-arrhythmia-concepts,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Local anesthesia and selected antiarrhythmic concept for lidocaine.,"CNS toxicity, cardiovascular toxicity, numbness/tingling if systemic exposure occurs.",High-yield: local anesthetics block sodium channels.,"lidocaine, lignocaine, bupivacaine, ropivacaine, procaine, tetracaine, prilocaine, mepivacaine",,No,Core,procaine | Local anesthetic | Anesthesia | Local anesthesia and arrhythmia concepts | Blocks voltage-gated sodium channels and prevents nerve impulse conduction. | High-yield: local anesthetics block sodium channels.,What is the drug class of procaine?,procaine belongs to Local anesthetic. Mechanism theme: Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,procaine belongs to which drug class?,Local anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0026,ropivacaine,ropivacaine,Local anesthetic,Clocal-anesthetic,local-anesthetic,Anesthesia,anesthesia,Local anesthesia and arrhythmia concepts,local-anesthesia-and-arrhythmia-concepts,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Local anesthesia and selected antiarrhythmic concept for lidocaine.,"CNS toxicity, cardiovascular toxicity, numbness/tingling if systemic exposure occurs.",High-yield: local anesthetics block sodium channels.,"lidocaine, lignocaine, bupivacaine, ropivacaine, procaine, tetracaine, prilocaine, mepivacaine",,No,Core,ropivacaine | Local anesthetic | Anesthesia | Local anesthesia and arrhythmia concepts | Blocks voltage-gated sodium channels and prevents nerve impulse conduction. | High-yield: local anesthetics block sodium channels.,What is the drug class of ropivacaine?,ropivacaine belongs to Local anesthetic. Mechanism theme: Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,ropivacaine belongs to which drug class?,Local anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0027,tetracaine,tetracaine,Local anesthetic,Clocal-anesthetic,local-anesthetic,Anesthesia,anesthesia,Local anesthesia and arrhythmia concepts,local-anesthesia-and-arrhythmia-concepts,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,Local anesthesia and selected antiarrhythmic concept for lidocaine.,"CNS toxicity, cardiovascular toxicity, numbness/tingling if systemic exposure occurs.",High-yield: local anesthetics block sodium channels.,"lidocaine, lignocaine, bupivacaine, ropivacaine, procaine, tetracaine, prilocaine, mepivacaine",,No,Core,tetracaine | Local anesthetic | Anesthesia | Local anesthesia and arrhythmia concepts | Blocks voltage-gated sodium channels and prevents nerve impulse conduction. | High-yield: local anesthetics block sodium channels.,What is the drug class of tetracaine?,tetracaine belongs to Local anesthetic. Mechanism theme: Blocks voltage-gated sodium channels and prevents nerve impulse conduction.,tetracaine belongs to which drug class?,Local anesthetic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0028,amikacin,amikacin,Aminoglycoside antibiotic,Caminoglycoside-antib,aminoglycoside-antibiotic,Antimicrobial,antimicrobial,Bacterial infection,bacterial-infection,Irreversibly binds 30S ribosomal subunit and inhibits bacterial protein synthesis.,Irreversibly binds 30S ribosomal subunit and inhibits bacterial protein synthesis.,Serious gram-negative infection and synergy concepts.,Nephrotoxicity and ototoxicity.,High-yield: aminoglycosides cause oto/nephrotoxicity and need oxygen-dependent uptake.,"gentamicin, amikacin, streptomycin, tobramycin, neomycin, kanamycin",,Yes,High,amikacin | Aminoglycoside antibiotic | Antimicrobial | Bacterial infection | Irreversibly binds 30S ribosomal subunit and inhibits bacterial protein synthesis. | High-yield: aminoglycosides cause oto/nephrotoxicity and need oxygen-dependent uptake.,What is the drug class of amikacin?,amikacin belongs to Aminoglycoside antibiotic. Mechanism theme: Irreversibly binds 30S ribosomal subunit and inhibits bacterial protein synthesis.,amikacin belongs to which drug class?,Aminoglycoside antibiotic,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
